бермудские острова	l21546
саки	c20556
вилино	c43711
багерово	c26164
ишунь	c26165
воинка	c26166
новопокровка	c26167
белогорск	c23717
приморский	c23718
лобаново	c26177
новокрымское	c26176
табачное	c26173
старый крым	c26172
шубино	c26171
найденовка	c26170
ермаково	c26178
добрушино	c72991
славянское	c43708
грушевка	c84690
партенит	c26098
любимовка	c26150
севастополь	c959
балаклава	c29064
кореиз	c39536
медведево	c39535
симеиз	c26102
гурзуф	c26103
малореченское	c26101
ореанда	c26107
форос	c26104
кацивели	c26108
восход	c26109
раздольное	c23026
чернополье	c26188
богатое	c26189
рыбачье	c23022
джанкой	c23023
бахчисарай	c23020
красноперекопск	c23021
головановка	c26183
азовское	c26180
соленое озеро	c26181
курское	c26186
зуя	c26187
новожиловка	c26184
мельничное	c26185
куйбышево	c26190
орджоникидзе	c26111
береговое	c26110
новоозерное	c26113
курортное	c26112
заозерное	c26115
мирный	c26114
кача	c26117
оленевка	c26119
верхнесадовое	c26118
штормовое	c39344
лозовое	c40302
пионерское	c40303
заречное	c40304
перевальное	c40305
верхняя кутузовка	c40306
краснокаменка	c40307
никита	c40308
песчаное	c41414
массандра	c26198
угловое	c26191
научный	c26193
почтовое	c26192
счастливое	c26195
долинное	c26194
красногвардейское	c23726
кировское	c85430
прибрежное	c26132
мазанка	c26128
ильичово	c26124
урожайное	c26125
пушкино	c26126
перово	c26127
окуневка	c26120
межводное	c26121
калиновка	c26122
красносельское	c26123
первомайское	c23025
новоселовское	c26139
портовое	c26138
симферополь	c146
ялта	c11470
алушта	c11471
судак	c11472
доброе	c26130
суворовское	c26137
столбовое	c26136
воробьево	c26135
витино	c26134
солнечногорское	c71348
армянск	c23019
алупка	c23018
плодовое	c26148
охотское	c26149
сусанино	c26146
желябовка	c26147
кормовое	c26144
войково	c26145
гришино	c26142
крестьяновка	c26143
берёзовка	c26140
стерегущее	c26141
николаевка	c28438
советский	c23730
ханты-мансийский автономный округ	r11193
шугур	c43767
берёзово	c22169
сергино	c40770
кондинское	c22263
игрим	c22170
кама	c40068
мортка	c26374
светлый	c40215
ямки	c48440
селиярово	c26451
агириш	c22450
излучинск	c22452
ларьяк	c22453
лянтор	c22454
октябрьское	c22456
пойковский	c22457
приобье	c22458
горноправдинск	c22459
нижневартовск	c1091
чеускино	c48380
юганская обь	c48381
юмас	c48438
корлики	c48387
охтеурье	c48388
луговой	c48432
куминский	c48430
зенково	c34407
нижнесортымский	c21727
ваховск	c21728
салым	c42591
каркатеевы	c42590
нижние нарыкары	c48398
малый атлым	c48397
белоярский	c11179
карымкары	c48395
горнореченск	c48393
русскинская	c48423
андра	c48390
болчары	c33219
приполярный	c40277
нефтеюганск	c11184
нягань	c11186
покачи	c11187
когалым	c11180
лангепас	c11181
мегион	c11182
междуреченский	c11183
пыть-ях	c11188
радужный	c11189
ханты-мансийск	c57
сургут	c973
цингалы	c48418
кирпичный	c48410
кышик	c48411
пырьях	c48413
сибирский	c48414
тюли	c48416
урманный	c48417
урай	c11192
советский	c11190
куть-ях	c48374
сивыс-ях	c48377
сентябрьский	c48376
югорск	c11177
белогорье	c48407
батово	c48406
полноват	c48405
казым	c48404
ванзеват	c48402
шеркалы	c48401
ванзетур	c40275
елизарово	c48409
выкатной	c48408
барсово	c42597
юган лзу	c39174
ульт-ягун	c48425
перегребное	c26539
сосьва	c21128
унъюган	c65557
кедровый	c42595
новоаганск	c42592
хулимсунт	c40272
саранпауль	c40273
няксимволь	c40274
реполово	c42596
теги	c40276
сытомино	c48424
юган	c22243
высокий	c43830
угут	c22244
фёдоровский	c26540
большие леуши	c48391
лямина	c48422
республика саха-якутия	r11443
крест-кытыл	c66177
джебарики-хая	c66179
белая гора	c22205
нюрба	c20614
покровск	c20615
улахан-ан	c69140
мирный	c20115
малыкан	c26555
чагда	c55870
октемцы	c66186
ой	c66185
тит-ары	c66183
полярный	c22175
улах-ан	c69139
чериктей	c55959
